F390,AMERICAS,6,https://aviationweather.gov/data/iffdp/2300.gif
F340,AMERICAS,6,https://aviationweather.gov/data/iffdp/2301.gif
F300,AMERICAS,6,https://aviationweather.gov/data/iffdp/2302.gif
F240,AMERICAS,6,https://aviationweather.gov/data/iffdp/2303.gif
F180,AMERICAS,6,https://aviationweather.gov/data/iffdp/2304.gif
F100,AMERICAS,6,https://aviationweather.gov/data/iffdp/2305.gif
F050,AMERICAS,6,https://aviationweather.gov/data/iffdp/2306.gif
F390,AMERICAS,12,https://aviationweather.gov/data/iffdp/2310.gif
F340,AMERICAS,12,https://aviationweather.gov/data/iffdp/2311.gif
F300,AMERICAS,12,https://aviationweather.gov/data/iffdp/2312.gif
F240,AMERICAS,12,https://aviationweather.gov/data/iffdp/2313.gif
F180,AMERICAS,12,https://aviationweather.gov/data/iffdp/2314.gif
F100,AMERICAS,12,https://aviationweather.gov/data/iffdp/2315.gif
F050,AMERICAS,12,https://aviationweather.gov/data/iffdp/2316.gif
F390,AMERICAS,18,https://aviationweather.gov/data/iffdp/2320.gif
F340,AMERICAS,18,https://aviationweather.gov/data/iffdp/2321.gif
F300,AMERICAS,18,https://aviationweather.gov/data/iffdp/2322.gif
F240,AMERICAS,18,https://aviationweather.gov/data/iffdp/2323.gif
F180,AMERICAS,18,https://aviationweather.gov/data/iffdp/2324.gif
F100,AMERICAS,18,https://aviationweather.gov/data/iffdp/2325.gif
F050,AMERICAS,18,https://aviationweather.gov/data/iffdp/2326.gif
F390,AMERICAS,24,https://aviationweather.gov/data/iffdp/2330.gif
F340,AMERICAS,24,https://aviationweather.gov/data/iffdp/2331.gif
F300,AMERICAS,24,https://aviationweather.gov/data/iffdp/2332.gif
F240,AMERICAS,24,https://aviationweather.gov/data/iffdp/2333.gif
F180,AMERICAS,24,https://aviationweather.gov/data/iffdp/2334.gif
F100,AMERICAS,24,https://aviationweather.gov/data/iffdp/2335.gif
F050,AMERICAS,24,https://aviationweather.gov/data/iffdp/2336.gif
F390,AMERSAFR,6,https://aviationweather.gov/data/iffdp/2400.gif
F340,AMERSAFR,6,https://aviationweather.gov/data/iffdp/2401.gif
